Year,Team,Off_Score,Pit_Score,Typology,Top_Adv,Top_Gap,OBP_diff,R_PA_diff,SO_PA_diff,FIP_diff,ERA_diff,HR_9_diff
2024,NC,0.15649219291694202,0.011143550173738248,Balanced Strong,"HR_PA(+1.06), ISO(+0.82), BB_HBP_PA(+0.81)","SO_PA(-1.34), ERA(-0.44), K_9(-0.21)",-0.016921444746648695,-0.013354280333310903,0.05100899936771669,0.14258064516129032,0.5678694623022347,-0.01754201903797903
2024,삼성,0.15574627410679384,0.06778687168945008,Balanced Strong,"HR_PA(+1.63), ISO(+1.20), ERA(+0.98)","HR_9(-1.43), K_9(-1.34), SO_PA(-0.90)",-0.023017044650710805,-0.012466746664337502,0.044427730947368405,0.5162096774193552,0.1925343054329467,0.16397424910232428
2024,두산,0.11646728243516499,0.24879172782983083,Balanced Strong,"H_9(+1.59), HR_9(+0.70), R_PA(+0.50)","BB_9(-1.05), OBP(-0.24), BB_HBP_PA(-0.20)",-0.0198976878919363,-0.008692691478620979,0.0320370796551015,-0.25329032258064554,0.327779142642294,-0.03984197640554421
2024,KT,-0.047864419525024834,0.03404977280933304,Pitching-driven,"BB_9(+1.58), BB_HBP_PA(+0.39), K_9(+0.37)","H_9(-1.13), HR_9(-0.76), ERA(-0.69)",-0.014093291339742686,-0.015566373552202195,0.03592109703681379,-0.1566749379652599,0.6339396022935748,0.1002022442034699
2024,롯데,-0.07976452326564093,-0.8920274560455709,Overall Weak,"K_9(+0.58), R_PA(+0.48), HR_9(+0.31)","FIP(-2.85), H_9(-1.15), BB_HBP_PA(-1.12)",-0.017577072083617085,-0.008881238692107496,0.029698562830881597,343.1669239631336,0.6396826657086905,-0.00242147367885559
2024,SSG,-0.3920292723170275,-0.3872468507192659,Overall Weak,"K_9(+1.52), H_9(+0.99), HR_PA(+0.41)","BB_9(-2.02), HR_9(-1.50), ERA(-1.21)",-0.02737979254491718,-0.013725495932414289,0.03633260024394061,1.378709677419355,0.771675392206217,0.17128907835643725
2024,한화,-0.4301453161444036,0.2519283948543364,Pitching-driven,"HR_9(+1.15), K_9(+0.63), BB_HBP_PA(+0.33)","H_9(-1.13), ISO(-1.01), HR_PA(-0.62)",-0.022121122038375796,-0.016969691995394998,0.0314481968993143,0.21037634408602202,0.5110261292812384,-0.08273622522813084
2024,키움,-1.4779781601764446,-0.4584895198107448,Overall Weak,"BB_9(+0.48), FIP(+0.31), SO_PA(-0.42)","R_PA(-2.14), K_9(-1.95), ISO(-1.88)",-0.031709343904061604,-0.028681278268861993,0.037252568923896,0.8725027808676309,0.7122681774760169,0.0767018921615975
2025,삼성,1.2176524188628166,0.17316156966474228,Balanced Strong,"ISO(+1.89), HR_PA(+1.66), R_PA(+1.38)","HR_9(-0.76), K_9(-0.47), H_9(+0.19)",-0.007339582410783085,-0.00131913709667128,0.020953787098009824,-1.3335057471264369,0.3202329838722777,0.29815933183496246
2025,LG,1.216781013208085,-0.05654425936513269,Offense-driven,"OBP(+1.63), SO_PA(+1.60), R_PA(+1.51)","FIP(-1.80), K_9(-0.26), ISO(+0.29)",0.0,0.0,0.0,0.0,0.0,0.0
2025,NC,0.6161320482927987,-1.0270683892458603,Offense-driven,"BB_HBP_PA(+0.96), R_PA(+0.92), ISO(+0.77)","BB_9(-1.85), HR_9(-1.45), FIP(-1.19)",-0.01635760405138803,-0.0063956602477666935,0.024675000636600997,-0.3620000000000001,1.0419117530185238,0.3896804696518442
2025,KIA,-0.02290881950190999,-0.20172788010852036,Overall Weak,"HR_PA(+1.02), ISO(+0.92), HR_9(+0.46)","SO_PA(-1.13), ERA(-0.58), K_9(-0.42)",-0.025412003455328513,-0.01907581373351619,0.044655972663099314,-0.9415686274509811,0.875294685863861,0.1376315898940329
2025,한화,-0.059600300747200956,1.260079803154248,Pitching-driven,"K_9(+2.08), ERA(+1.28), H_9(+1.19)","BB_HBP_PA(-1.08), OBP(-0.25), HR_PA(-0.08)",-0.02555712202651922,-0.013768052739934186,0.0164050115728388,-1.6931159420289852,-0.2478463043450767,0.0719187315968457
2025,KT,-0.1475058972103297,0.30623872270175845,Pitching-driven,"BB_9(+1.34), BB_HBP_PA(+0.81), SO_PA(+0.62)","H_9(-0.85), ISO(-0.79), HR_PA(-0.62)",-0.023341964506911395,-0.02201656073931839,0.016105753292036923,-1.241296296296297,0.29804778758483863,0.1442297384183101
2025,롯데,-0.18712672978831163,-0.1060594693644124,Overall Weak,"SO_PA(+0.95), K_9(+0.92), FIP(+0.65)","HR_PA(-1.89), ISO(-1.50), BB_9(-0.94)",-0.015025841652653915,-0.0190071452295911,0.010551033405278104,-1.4447619047619051,1.029078242823724,0.24796232366533622
2025,SSG,-0.6064333665732451,0.6926531419819235,Pitching-driven,"H_9(+1.36), ERA(+1.16), K_9(+0.77)","R_PA(-1.05), SO_PA(-0.81), OBP(-0.64)",-0.030923965020773492,-0.027774516658479687,0.03935477508956811,-1.4440476190476197,-0.17333383443021955,0.16710291572066216
2025,두산,-0.6256658107306997,0.2870501016456337,Pitching-driven,"FIP(+1.03), H_9(+0.63), HR_9(+0.54)","BB_HBP_PA(-1.05), SO_PA(-0.77), HR_PA(-0.70)",-0.02925487756382139,-0.022050293145399594,0.038737504310454224,-1.6686904761904762,0.5031880431649425,0.12744082446384908
2025,키움,-1.4013245558120029,-1.327783341064381,Overall Weak,"HR_PA(-0.55), BB_9(-0.66), ISO(-0.78)","OBP(-1.97), H_9(-1.87), ERA(-1.80)",-0.04896080377631723,-0.03237118079968079,0.05032563243165622,-0.4876436781609197,1.6182219236607684,0.39671848589194714
