Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
12922,박성한,1998년 03월 30일,우투좌타,순천북초-여수중-효천고,17 SK 2차 2라운드 16순위,2022,SSG,24,SS,140,4.67,0.87,564,557,494,68,147,24,4,2,185,56,12,8,60,2,1,81,5,6,2,0.298,0.375,0.374,0.749,0.134,111.6,5.55
12922,박성한,1998년 03월 30일,우투좌타,순천북초-여수중-효천고,17 SK 2차 2라운드 16순위,2023,SSG,25,SS,128,3.29,0.37,529,521,459,53,122,19,0,9,168,47,4,1,58,1,1,56,7,7,4,0.266,0.347,0.366,0.713,0.12,99.7,3.66
12922,박성한,1998년 03월 30일,우투좌타,순천북초-여수중-효천고,17 SK 2차 2라운드 16순위,2024,SSG,26,SS,137,3.62,0.1,564,559,489,78,147,24,0,10,201,67,13,3,64,2,3,86,11,3,6,0.301,0.38,0.411,0.791,0.145,104.0,3.72
12922,박성한,1998년 03월 30일,우투좌타,순천북초-여수중-효천고,17 SK 2차 2라운드 16순위,2025,SSG,27,SS,127,4.74,0.55,538,536,452,73,124,23,2,7,172,48,5,6,79,3,1,93,6,2,2,0.274,0.384,0.381,0.765,0.149,120.8,5.28
12931,김민수,1998년 03월 18일,우투우타,서화초-동산중-제물포고,17 롯데 2차 2라운드 13순위,2021,롯데,23,3B,82,0.34,0.05,224,221,199,19,48,11,1,3,70,25,0,0,18,3,0,62,4,3,1,0.241,0.312,0.352,0.664,0.095,74.6,0.39
12931,김민수,1998년 03월 18일,우투우타,서화초-동산중-제물포고,17 롯데 2차 2라운드 13순위,2022,롯데,24,3B,57,0.04,0.15,156,153,140,9,36,6,0,0,42,11,0,1,9,4,0,48,2,3,0,0.257,0.32,0.3,0.62,0.088,73.8,0.19
12931,김민수,1998년 03월 18일,우투우타,서화초-동산중-제물포고,17 롯데 2차 2라운드 13순위,2023,롯데,25,3B,25,-0.02,-0.22,51,50,43,4,9,1,1,0,12,2,0,0,7,0,0,17,2,1,0,0.209,0.32,0.279,0.599,0.088,71.4,-0.24
12936,김성윤,1999년 02월 02일,좌투좌타,부산진구-양산원동중-포철공고,17 삼성 2차 4라운드 39순위,2023,삼성,24,RF,101,1.51,0.49,272,268,245,40,77,4,6,2,99,28,20,4,14,4,0,35,2,4,5,0.314,0.354,0.404,0.758,0.13,109.0,1.99
12936,김성윤,1999년 02월 02일,좌투좌타,부산진구-양산원동중-포철공고,17 삼성 2차 4라운드 39순위,2024,삼성,25,CF,32,-0.07,0.04,89,86,74,15,18,4,0,0,22,6,3,1,9,1,0,16,1,3,2,0.243,0.326,0.297,0.623,0.088,65.0,-0.03
12936,김성윤,1999년 02월 02일,좌투좌타,부산진구-양산원동중-포철공고,17 삼성 2차 4라운드 39순위,2025,삼성,26,RF,127,5.12,0.38,538,528,456,92,151,29,9,6,216,61,26,7,65,5,0,54,11,10,2,0.331,0.419,0.474,0.893,0.189,146.2,5.5
12941,홍현빈,1997년 08월 29일,우투좌타,신곡초-매송중-유신고,17 KT 2차 3라운드 21순위,2022,KT,25,RF,61,0.02,0.52,92,86,76,8,18,2,0,0,20,1,4,0,10,0,0,26,1,6,0,0.237,0.326,0.263,0.589,0.08,67.5,0.54
12941,홍현빈,1997년 08월 29일,우투좌타,신곡초-매송중-유신고,17 KT 2차 3라운드 21순위,2023,KT,26,CF,44,0.2,-0.05,86,86,73,15,17,2,0,0,19,1,2,0,13,0,0,21,2,0,0,0.233,0.349,0.26,0.609,0.096,78.2,0.15
12943,조용호,1989년 09월 09일,우투좌타,성동초-잠신중-야탑고-단국대,14 SK 육성선수,2021,KT,32,LF,138,0.07,-0.47,515,510,428,71,101,14,1,0,117,48,12,9,74,3,0,85,8,5,5,0.236,0.349,0.273,0.622,0.096,76.6,-0.4
12943,조용호,1989년 09월 09일,우투좌타,성동초-잠신중-야탑고-단국대,14 SK 육성선수,2022,KT,33,RF,131,2.56,0.62,531,527,474,52,146,18,4,3,181,44,5,4,49,3,3,74,3,2,3,0.308,0.374,0.382,0.756,0.134,111.5,3.18
12943,조용호,1989년 09월 09일,우투좌타,성동초-잠신중-야탑고-단국대,14 SK 육성선수,2023,KT,34,RF,63,0.01,-0.13,184,184,161,20,40,2,0,0,42,7,4,0,23,0,0,25,3,0,0,0.248,0.342,0.261,0.603,0.089,73.5,-0.12
12943,조용호,1989년 09월 09일,우투좌타,성동초-잠신중-야탑고-단국대,14 SK 육성선수,2024,KT,35,RF,60,-0.5,0.01,165,162,149,17,37,5,0,0,42,13,5,1,13,0,0,25,5,3,0,0.248,0.309,0.282,0.591,0.071,51.9,-0.49
12970,김민혁,1996년 05월 03일,우투우타,광주대성초-광주동성중-광주동성고,15 두산 2차 2라운드 16순위,2022,두산,26,1B,38,0.39,-0.27,97,97,88,11,25,2,0,5,42,16,0,0,7,2,0,25,6,0,0,0.284,0.351,0.477,0.828,0.153,134.3,0.12
12988,안주형,1993년 08월 14일,우투좌타,부산중앙초-부산중-부경고-영남대,16 삼성 육성선수,2023,삼성,30,2B,53,0.05,-0.37,91,90,79,12,19,2,0,1,24,10,0,0,10,0,0,20,3,1,1,0.241,0.322,0.304,0.626,0.09,74.3,-0.32
12988,안주형,1993년 08월 14일,우투좌타,부산중앙초-부산중-부경고-영남대,16 삼성 육성선수,2024,삼성,31,2B,82,-0.52,-0.35,166,154,142,24,31,2,0,0,33,8,4,2,11,1,0,39,3,12,0,0.218,0.279,0.232,0.511,0.041,29.2,-0.87
12991,로맥,1985년 09월 30일,우투우타,캐나다 Lucas Secondary(고),17 SK 자유선발,2021,SSG,36,1B,107,1.19,0.03,421,421,355,55,80,11,0,20,151,52,1,0,59,4,1,83,9,0,3,0.225,0.34,0.425,0.765,0.134,106.3,1.21
12995,로하스,1990년 05월 24일,우투양타,-,17 KT 자유선발,2024,KT,34,RF,144,6.55,0.16,670,664,572,108,188,39,1,32,325,112,2,1,88,6,9,115,10,0,4,0.329,0.421,0.568,0.989,0.211,153.3,6.71
12995,로하스,1990년 05월 24일,우투양타,-,17 KT 자유선발,2025,KT,35,RF,95,1.39,-0.17,384,382,331,48,79,20,0,14,141,43,1,1,48,1,3,71,9,0,4,0.239,0.333,0.426,0.759,0.131,107.0,1.21
12999,이원재,1989년 05월 20일,우투좌타,수유초-서울이수중-청원고-호원대,13 NC 육성선수,2021,NC,32,1B,31,-0.42,-0.16,69,68,65,3,15,2,0,0,17,7,1,0,1,1,0,11,1,1,1,0.231,0.25,0.262,0.512,0.031,24.6,-0.58
13006,안치영,1998년 05월 29일,우투좌타,부천원미-천안북중-북일고,17 KT 2차 6라운드 51순위,2023,KT,25,RF,76,0.25,-0.1,136,133,124,20,36,3,1,0,41,9,7,1,6,2,0,35,1,3,1,0.29,0.331,0.331,0.662,0.098,79.7,0.15
13006,안치영,1998년 05월 29일,우투좌타,부천원미-천안북중-북일고,17 KT 2차 6라운드 51순위,2025,KT,27,LF,47,0.06,0.03,56,52,44,9,10,1,0,1,14,6,0,2,4,3,0,13,1,4,1,0.227,0.327,0.318,0.645,0.098,78.7,0.09
13056,신민재,1996년 01월 21일,우투좌타,서흥초-동인천중-인천고,15 두산 육성선수,2023,LG,27,2B,122,1.02,0.24,331,314,282,47,78,5,2,0,87,28,37,17,29,1,0,34,5,17,2,0.277,0.344,0.309,0.653,0.1,87.7,1.25
13056,신민재,1996년 01월 21일,우투좌타,서흥초-동인천중-인천고,15 두산 육성선수,2024,LG,28,2B,128,3.19,-0.47,474,459,387,78,115,11,6,0,138,40,32,11,64,5,1,47,7,15,3,0.297,0.401,0.357,0.758,0.148,114.2,2.72
13056,신민재,1996년 01월 21일,우투좌타,서흥초-동인천중-인천고,15 두산 육성선수,2025,LG,29,2B,135,4.18,-0.69,538,532,463,87,145,15,7,1,177,61,15,9,62,3,0,57,7,6,4,0.313,0.395,0.382,0.777,0.151,128.8,3.49
13069,호잉,1989년 05월 18일,우투좌타,-,18 한화 자유선발,2021,KT,32,RF,68,0.62,0.42,294,292,259,32,62,11,1,11,108,52,5,2,26,4,2,52,2,0,5,0.239,0.313,0.417,0.73,0.115,91.8,1.04
13073,전민재,1999년 06월 30일,우투우타,천안남산초-천안북중-대전고,18 두산 2차 4라운드 40순위,2024,두산,25,SS,100,-0.37,0.07,276,272,248,34,61,5,1,2,74,32,7,3,17,4,1,53,8,4,3,0.246,0.301,0.298,0.599,0.071,54.5,-0.3
13073,전민재,1999년 06월 30일,우투우타,천안남산초-천안북중-대전고,18 두산 2차 4라운드 40순위,2025,롯데,26,SS,101,1.75,-0.62,369,359,331,39,95,15,0,5,125,34,3,3,22,4,0,63,7,10,2,0.287,0.337,0.378,0.715,0.115,90.6,1.13
13081,김형준,1999년 11월 02일,우투우타,가동초-세광중-세광고,18 NC 2차 1라운드 9순위,2023,NC,24,C,26,0.59,0.16,82,81,72,10,17,2,0,6,37,13,0,0,8,1,0,24,3,1,0,0.236,0.321,0.514,0.835,0.15,127.5,0.75
13081,김형준,1999년 11월 02일,우투우타,가동초-세광중-세광고,18 NC 2차 1라운드 9순위,2024,NC,25,C,119,0.32,0.11,414,407,354,39,69,12,0,17,132,50,0,0,45,2,0,144,6,7,6,0.195,0.285,0.373,0.658,0.086,64.9,0.43
13081,김형준,1999년 11월 02일,우투우타,가동초-세광중-세광고,18 NC 2차 1라운드 9순위,2025,NC,26,C,127,2.59,0.69,415,412,362,51,84,10,1,18,150,55,3,0,45,3,0,126,7,3,2,0.232,0.32,0.414,0.734,0.124,100.9,3.27
13082,오영수,2000년 01월 30일,우투좌타,사파초-신월중-용마고,18 NC 2차 2라운드 19순위,2022,NC,22,1B,83,-0.27,-0.12,259,259,231,25,55,10,0,6,83,31,0,5,22,3,0,58,4,0,3,0.238,0.309,0.359,0.668,0.099,85.2,-0.38
13082,오영수,2000년 01월 30일,우투좌타,사파초-신월중-용마고,18 NC 2차 2라운드 19순위,2023,NC,23,1B,70,-0.39,0.22,238,232,208,21,49,9,1,4,72,24,3,3,17,5,1,55,5,5,3,0.236,0.305,0.346,0.651,0.093,78.8,-0.17
13082,오영수,2000년 01월 30일,우투좌타,사파초-신월중-용마고,18 NC 2차 2라운드 19순위,2025,NC,25,DH,67,0.09,-0.04,179,179,155,14,36,5,0,3,50,23,3,2,22,2,0,47,0,0,0,0.232,0.335,0.323,0.658,0.108,87.4,0.05
13093,예진원,1999년 03월 16일,좌투좌타,양정초-부산중-경남고,18 넥센 2차 2라운드 18순위,2021,키움,22,CF,52,-0.78,0.51,132,129,114,16,18,6,1,1,29,8,0,1,12,2,0,28,2,3,1,0.158,0.248,0.254,0.502,0.037,30.8,-0.27
13094,추재현,1999년 02월 22일,좌투좌타,성동구-건대부중-신일고,18 넥센 2차 3라운드 28순위,2021,롯데,22,RF,95,0.63,0.16,300,295,262,37,66,15,0,5,96,26,4,3,26,7,0,57,3,5,0,0.252,0.336,0.366,0.702,0.113,87.9,0.8
13094,추재현,1999년 02월 22일,좌투좌타,성동구-건대부중-신일고,18 넥센 2차 3라운드 28순위,2022,롯데,23,RF,33,-0.07,-0.14,66,66,58,10,13,4,0,0,17,5,1,0,7,1,0,17,1,0,0,0.224,0.318,0.293,0.611,0.089,72.7,-0.21
13094,추재현,1999년 02월 22일,좌투좌타,성동구-건대부중-신일고,18 넥센 2차 3라운드 28순위,2025,두산,26,LF,34,-0.22,-0.31,87,85,81,7,18,3,1,1,26,7,0,0,3,1,0,17,2,2,0,0.222,0.259,0.321,0.58,0.059,51.1,-0.53
