Year,Team,IP,H,HR,BB,SO,ER,FIP,BB_9,K_9,HR_9,ERA,H_9
2023,삼성,1271.8,1414,120,464,899,656,6.45483870967742,3.2835351470356975,6.361849347381664,0.84919012423337,4.64223934580909,10.006290297216545
2023,키움,1278.4,1334,82,530,962,628,5.7103125,3.731226533166458,6.77252816020025,0.5772841051314143,4.421151439299123,9.391426783479348
2023,한화,1283.5,1292,101,518,1037,628,5.036333333333333,3.6322555512271135,7.271523178807947,0.7082197117257499,4.403583950136346,9.059602649006623
2024,KIA,1281.4,1365,141,539,1123,643,5.621290322580645,3.785703137193694,7.88746683315124,0.9903230841267363,4.516154206336819,9.58717028250351
2024,KT,1279.2,1448,155,443,1118,732,5.464615384615385,3.1167917448405253,7.865853658536585,1.0905253283302063,5.150093808630394,10.187617260787992
2024,LG,1268.6,1375,126,529,1082,659,5.894,3.752956014504178,7.676178464448999,0.893898786063377,4.675232539807662,9.754847863786852
2024,NC,1267.5,1389,137,531,1061,716,5.763870967741935,3.770414201183432,7.533727810650888,0.9727810650887574,5.084023668639054,9.862721893491123
2024,SSG,1262.9,1341,163,630,1195,742,7.0,4.489666640272389,8.51611370654842,1.1616121624831737,5.287829598543036,9.556576134294085
2024,두산,1278.3,1332,135,585,1083,688,5.367999999999999,4.118751466791833,7.624970664163342,0.9504811077211922,4.843933348979113,9.378080262849096
2024,롯데,1248.1,1414,137,505,1107,715,348.7882142857143,3.6415351334027726,7.982533450845286,0.9879016104478808,5.1558368720455094,10.196298373527762
2024,삼성,1278.7,1384,164,477,980,669,6.1375,3.357316024086963,6.897630405880973,1.1542973332290607,4.708688511769766,9.741143348713537
2024,키움,1265.2,1416,150,497,921,735,6.493793103448276,3.535409421435346,6.5515333544103695,1.067024976288334,5.228422383812836,10.072715776161871
2024,한화,1269.3,1437,128,511,1130,709,5.831666666666667,3.6232569132592767,8.012290238714252,0.9075868588986056,5.027180335618057,10.189080595603876
2025,KIA,1268.6,1316,110,511,1058,662,5.496764705882352,3.6252561879236955,7.505912029008356,0.7803878291029482,4.696515844237743,9.33627620999527
2025,KT,1269.4,1359,111,432,1066,581,5.1970370370370365,3.0628643453600124,7.557901370726327,0.7869859776272254,4.11926894595872,9.635260753111705
2025,LG,1274.2,1236,91,491,1080,541,6.4383333333333335,3.468058389577774,7.628315805995919,0.6427562392089153,3.8212211583738815,8.730183644639773
2025,NC,1264.0,1276,145,621,1074,683,6.076333333333333,4.421677215189874,7.647151898734177,1.0324367088607596,4.863132911392405,9.085443037974683
2025,SSG,1278.0,1164,115,508,1193,518,4.994285714285714,3.5774647887323945,8.401408450704226,0.8098591549295775,3.647887323943662,8.19718309859155
2025,두산,1273.7,1227,109,542,1054,612,4.769642857142857,3.829787234042553,7.447593624872419,0.7701970636727644,4.324409201538824,8.670016487398916
2025,롯데,1202.3999999999999,1282,119,539,1137,648,4.993571428571428,4.034431137724551,8.510479041916168,0.8907185628742516,4.8502994011976055,9.595808383233534
2025,삼성,1262.6,1257,132,455,1048,581,5.104827586206897,3.243307460795185,7.470299382227151,0.9409155710438778,4.141454142246159,8.960082369713291
2025,키움,1264.1,1447,146,550,937,764,5.950689655172414,3.9158294438731116,6.671149434380192,1.0394747251008623,5.43944308203465,10.30219128233526
2025,한화,1284.5,1185,102,450,1339,510,4.745217391304348,3.1529778123783574,9.381860646165823,0.714674970805761,3.573374854028805,8.302841572596341
