Year,Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,SO,GDP,SH,SF,ePA,BB_HBP_PA,SO_PA,HR_PA,AVG_calc,OBP_calc,SLG_calc,ISO_calc,R_PA,H_minus_HR_PA,GDP_PA
2022,롯데,5534,4948,605,1320,227,16,106,1897,570,61,38,417,54,991,127,73,42,5446,0.08511022768341164,0.17907481026382363,0.01915431875677629,0.2667744543249798,0.32796191173777695,0.3833872271624899,0.11661277283751009,0.10932417780990242,0.21937116010119262,0.022949042284062162
2022,삼성,5647,5023,663,1358,241,19,103,1946,627,91,27,446,54,1029,119,83,41,5543,0.08854258898530193,0.18222064813175137,0.0182397733309722,0.27035636074059327,0.3339324227174694,0.38741787776229347,0.1170615170217002,0.11740747299451036,0.22224189835310784,0.02107313617850186
2022,키움,5655,4953,621,1250,203,33,94,1801,578,63,20,527,92,1032,89,49,34,5589,0.10946065428824049,0.18249336870026525,0.016622458001768346,0.2523722996163941,0.3333927934356047,0.36361800928730065,0.11124570967090652,0.10981432360742706,0.20442086648983201,0.015738284703801945
2022,한화,5513,4878,564,1196,217,19,88,1715,520,93,49,497,52,1264,92,45,40,5460,0.09958280428079086,0.2292762561218937,0.015962270995828042,0.24518245182451825,0.319187854399122,0.35157851578515786,0.10639606396063961,0.102303645927807,0.2009795029929258,0.016687828768365682
2023,KIA,5607,4954,726,1365,224,21,101,1934,673,122,34,500,46,957,115,63,44,5538,0.09737827715355805,0.17067950775815943,0.018013197788478687,0.27553492127573675,0.3446969696969697,0.39039160274525636,0.1148566814695196,0.12948100588550027,0.22543249509541644,0.02051007668985197
2023,KT,5649,4973,672,1316,235,14,89,1846,621,87,30,524,48,1074,96,57,47,5585,0.10125685962117188,0.19012214551248008,0.01575500088511241,0.2646289965815403,0.3376251788268956,0.37120450432334606,0.10657550774180574,0.11895910780669144,0.21720658523632502,0.016994158258098777
2023,LG,5687,4881,767,1364,227,27,93,1924,714,166,101,583,73,804,89,94,55,5587,0.11535080007033585,0.14137506593986285,0.01635308598558115,0.27945093218602746,0.36123032904148783,0.3941815201802909,0.11473058799426344,0.1348689994724811,0.22349217513627573,0.015649727448566908
2023,NC,5605,4894,679,1321,223,28,98,1894,642,111,46,493,100,1005,122,63,55,5536,0.10579839429081178,0.1793041926851026,0.017484388938447816,0.26992235390273805,0.34536268495128114,0.3870044953003678,0.11708214139762974,0.12114183764495985,0.21819803746654773,0.02176628010704728
2023,SSG,5630,4923,657,1279,229,16,125,1915,611,96,28,507,78,943,89,77,45,5539,0.10390763765541741,0.1674955595026643,0.022202486678507993,0.25980093438959984,0.3356744102287052,0.38899045297582774,0.1291895185862279,0.116696269982238,0.2049733570159858,0.01580817051509769
2023,두산,5538,4859,620,1238,210,32,100,1812,565,133,48,505,76,975,90,57,41,5462,0.10491152040447815,0.176056338028169,0.01805706031058144,0.2547849351718461,0.33187374566684913,0.3729162379090348,0.11813130273718869,0.1119537739256049,0.20548934633441676,0.016251354279523293
2023,롯데,5576,4871,653,1289,231,19,69,1765,608,101,42,522,51,1000,110,75,57,5492,0.10276183644189384,0.1793400286944046,0.012374461979913917,0.26462738657359886,0.3384839120159971,0.3623485937179224,0.09772120714432353,0.1171090387374462,0.2187948350071736,0.019727403156384504
2023,삼성,5580,4911,636,1290,208,23,88,1808,603,103,35,487,62,954,114,77,43,5498,0.09838709677419355,0.17096774193548386,0.015770609318996417,0.2626756261453879,0.334181355624205,0.36815312563632663,0.10547749949093871,0.11397849462365592,0.21541218637992832,0.02043010752688172
2023,키움,5729,5062,607,1323,223,30,61,1789,576,54,11,484,74,1096,87,51,58,5667,0.09739919706755105,0.19130738348751963,0.010647582475126548,0.2613591465823785,0.331278619232124,0.3534176214934808,0.0920584749111023,0.10595217315412812,0.22028277186245418,0.015185896316983766
2023,한화,5628,4906,604,1184,211,12,100,1719,568,67,22,535,88,1162,103,59,40,5556,0.11069651741293532,0.2064676616915423,0.017768301350390904,0.24133713819812475,0.3244747710540492,0.35038728088055443,0.10905014268242968,0.10732054015636106,0.19260838663823737,0.01830135039090263
2024,KIA,5812,5124,858,1542,266,28,163,2353,812,125,44,529,59,915,119,45,53,5755,0.10116999311768754,0.15743289745354438,0.028045423262216103,0.3009367681498829,0.36947094535993064,0.45921155347384857,0.15827478532396566,0.14762560220233997,0.23726772195457674,0.020474879559532002
2024,KT,5808,5072,767,1413,234,16,145,2114,722,61,27,580,49,1123,112,62,45,5734,0.10829889807162535,0.19335399449035812,0.02496556473829201,0.27858832807570977,0.35537765402018795,0.4167981072555205,0.13820977917981075,0.13205922865013775,0.21831955922865015,0.01928374655647383
2024,LG,5723,4917,808,1394,238,29,115,2035,765,171,79,616,71,968,98,46,73,5668,0.12004193604752753,0.16914205836099946,0.020094356106936922,0.28350620296929024,0.3665668486876872,0.41387024608501116,0.13036404311572092,0.14118469334265246,0.2234841866154115,0.01712388607373755
2024,NC,5757,5009,773,1371,226,15,172,2143,737,104,33,513,128,1200,100,50,57,5699,0.11134271321869028,0.20844189682126107,0.029876671877714086,0.27370732681173887,0.35254950061328194,0.427829906168896,0.15412257935715712,0.13427132186902901,0.2082681952405767,0.01737015806843842
2024,SSG,5646,5000,756,1367,239,20,152,2102,724,149,39,470,77,1094,85,51,48,5586,0.09688274884874247,0.19376549769748494,0.026921714488133193,0.2734,0.3420911528150134,0.4204,0.14700000000000002,0.1339001062699256,0.21519659936238045,0.015054906128232378
2024,두산,5679,4974,789,1375,243,21,150,2110,743,184,50,510,81,1076,100,55,59,5614,0.10406761753829899,0.18946997710864588,0.02641310089804543,0.27643747486932047,0.34957325746799434,0.424205870526739,0.14776839565741856,0.13893291072371897,0.215706990667371,0.017608733932030288
2024,롯데,5766,5110,800,1454,285,41,125,2196,757,104,42,494,68,1079,100,37,57,5720,0.09746791536593825,0.18713146028442595,0.021678806798473813,0.2845401174168297,0.3518938732763135,0.4297455968688845,0.1452054794520548,0.1387443635102324,0.23048907388137357,0.01734304543877905
2024,삼성,5697,4975,770,1336,204,17,185,2129,734,113,29,531,87,1150,94,57,47,5629,0.10847814639283834,0.20186062840091276,0.03247323152536423,0.2685427135678392,0.34645390070921983,0.42793969849246233,0.15939698492462312,0.13515885553800247,0.20203615938213096,0.01649991223450939
2024,키움,5532,4896,658,1306,219,24,100,1873,628,71,13,475,75,1077,94,37,49,5490,0.09942154736080984,0.19468546637744036,0.018076644974692697,0.2667483660130719,0.337761601455869,0.38255718954248363,0.11580882352941174,0.11894432393347795,0.21800433839479394,0.016992046276211134
2024,한화,5702,5005,745,1351,224,18,127,1992,698,69,41,530,85,1077,109,42,40,5650,0.10785689231848475,0.18888109435285866,0.0222728867064188,0.2699300699300699,0.3473498233215548,0.398001998001998,0.12807192807192808,0.13065591020694492,0.2146615222728867,0.019116099614170465
2025,KIA,5618,4943,668,1276,232,16,144,1972,624,77,22,526,67,1210,96,43,39,5567,0.10555357778568886,0.21537913848344606,0.025631897472410112,0.25814282824195833,0.33524663677130045,0.3989480072830265,0.14080517904106815,0.11890352438590246,0.20149519401922392,0.017087931648273408
2025,KT,5588,4845,648,1228,214,17,104,1788,613,48,24,555,80,1044,108,65,43,5511,0.11363636363636363,0.18682891911238367,0.018611309949892626,0.2534571723426213,0.3373166757197175,0.3690402476780186,0.1155830753353973,0.11596277738010022,0.20114531138153185,0.019327129563350035
2025,LG,5711,4918,788,1366,219,19,130,2013,732,121,49,603,68,975,99,63,59,5638,0.11749255822097707,0.1707231658203467,0.022763088776046228,0.2777551850345669,0.3606586402266289,0.409312728751525,0.1315575437169581,0.13797933811941868,0.21642444405533182,0.017334967606373666
2025,NC,5563,4810,732,1254,221,31,128,1921,684,186,64,504,136,1087,83,62,51,5495,0.11504583857630775,0.1953981664569477,0.02300916771526155,0.2607068607068607,0.3443010361752409,0.39937629937629937,0.13866943866943865,0.13158367787165198,0.20240877224519144,0.01492000719036491
2025,SSG,5517,4875,608,1249,175,14,127,1833,578,129,47,493,60,1159,90,52,37,5451,0.10023563530904477,0.2100779409099148,0.023019757114373755,0.2562051282051282,0.3297346752058554,0.376,0.1197948717948718,0.11020482146093892,0.20337139749864055,0.01631321370309951
2025,두산,5581,4952,647,1298,232,31,102,1898,592,144,43,469,65,1169,87,53,42,5514,0.0956817774592367,0.20946067013080094,0.018276294570865437,0.2621163166397415,0.3314037626628075,0.3832794830371567,0.1211631663974152,0.115929044974019,0.21429851281132414,0.01558860419279699
2025,롯데,5682,4944,676,1318,242,26,75,1837,629,91,27,530,91,1030,123,72,45,5591,0.10929250263991552,0.1812741992256248,0.013199577613516367,0.26658576051779936,0.34563279857397505,0.37156148867313915,0.10497572815533979,0.11897219288982752,0.21876099964801127,0.02164730728616684
2025,삼성,5671,4899,775,1330,241,18,161,2090,728,98,32,564,86,1087,106,67,55,5587,0.11461823311585258,0.19167695291835654,0.02839005466408041,0.2714839763216983,0.3533190578158458,0.42661767707695447,0.15513370075525618,0.1366602010227473,0.2061364838652795,0.018691588785046728
2025,키움,5492,4921,580,1200,217,20,104,1769,538,82,15,437,63,1214,102,38,33,5446,0.09104151493080845,0.2210487982520029,0.018936635105608158,0.2438528754318228,0.3116978364503117,0.3594797805324121,0.11562690510058929,0.1056081573197378,0.1995630007283321,0.018572469045884922
2025,한화,5547,4892,689,1303,250,16,116,1933,643,101,38,439,90,1038,109,79,46,5453,0.09536686497205697,0.18712817739318552,0.020912204795384894,0.2663532297628782,0.33510151820010975,0.39513491414554375,0.12878168438266557,0.1242112853794844,0.2139895438976023,0.019650261402559942
